Timestamp,clearsky_ghi,clearsky_dni,clearsky_dhi,ghi_clipped
2020-06-20 06:33:00,21.08335822478721,523.0088079787495,0.5598489605481873,13.3675
2020-06-20 06:38:00,36.70836793520194,619.5711019668031,0.9747565550435836,18.8975
2020-06-20 06:43:00,54.52677175878159,694.24370278916,1.447907689360072,25.28
2020-06-20 06:48:00,73.73976972146001,752.0659936511325,1.9580909734335563,31.88
2020-06-20 06:53:00,93.84956459199364,797.436716898837,2.4920878649662086,40.99
2020-06-20 06:58:00,114.54672363664262,833.6351632768371,3.041681665626683,50.0675
2020-06-20 07:03:00,135.63379765375697,863.0028586735051,3.60162929558274,57.11
2020-06-20 07:08:00,156.9800376354203,887.2026662084586,4.168458836585188,63.635000000000005
2020-06-20 07:13:00,178.4952937145946,907.4261274410892,4.7397764427952325,77.7025
2020-06-20 07:18:00,200.11479288769112,924.5394486743432,5.31386212737084,98.0925
2020-06-20 07:23:00,221.79007307374363,939.1825616014964,5.889429024843821,125.3275
2020-06-20 07:28:00,243.4834700374202,951.83594816511,6.46547699648977,137.54500000000002
2020-06-20 07:33:00,265.1646232485186,962.8659826155504,7.041199846678296,157.1225
2020-06-20 07:38:00,286.8082661594497,972.556115967276,7.615926645747436,184.1975
2020-06-20 07:43:00,308.3927320538091,981.1285943457568,8.18908205420314,172.58249999999998
2020-06-20 07:48:00,329.8989870600431,988.7598470282388,8.76016064529631,192.9125
2020-06-20 07:53:00,351.30992707476486,995.5915212314936,9.328708235476142,153.6175
2020-06-20 07:58:00,372.6099226348754,1001.7385352546032,9.894309798892664,155.71749999999997
2020-06-20 08:03:00,393.7844724533752,1007.2950160302508,10.4565802673622,162.9625
2020-06-20 08:08:00,414.8199514799213,1012.3387404458108,11.015157840350524,175.3325
2020-06-20 08:13:00,435.7034529107581,1016.9345031541216,11.56969978969306,170.41
2020-06-20 08:18:00,456.4226342749225,1021.1366847545762,12.119878372557537,183.71500000000003
2020-06-20 08:23:00,476.96564183944906,1024.9912470705049,12.665378824094375,246.4525
2020-06-20 08:28:00,497.3210146623943,1028.5372828685736,13.20589680965412,360.6775
2020-06-20 08:33:00,517.4776507785823,1031.8082448481125,13.741137526881346,370.6525
2020-06-20 08:38:00,537.4247428344961,1034.8329152889553,14.270813996559468,379.875
2020-06-20 08:43:00,557.15176456992,1037.6361891081622,14.794646703642345,396.55
2020-06-20 08:48:00,576.648437686581,1040.2397019000252,15.31236271748287,406.18500000000006
2020-06-20 08:53:00,595.9047050937187,1042.6623406936974,15.823694981393828,416.5775
2020-06-20 08:58:00,614.9107346046349,1044.9206649913954,16.32838241080549,435.55
2020-06-20 09:03:00,633.6568872768383,1047.0292488389262,16.826169052568957,445.53
2020-06-20 09:08:00,652.1337295536824,1049.0009686992223,17.316804407364543,459.5675
2020-06-20 09:13:00,670.3320070893094,1050.8472388734303,17.800042734649196,442.74
2020-06-20 09:18:00,688.2426602343916,1052.578212588384,18.2756434638643,500.195
2020-06-20 09:23:00,705.8568015253132,1054.202947376369,18.74337059668335,471.255
2020-06-20 09:28:00,723.1657307721399,1055.7295481942822,19.202993107657107,554.4175
2020-06-20 09:33:00,740.1609266588106,1057.1652867406776,19.65428472116662,548.275
2020-06-20 09:38:00,756.8340398237904,1058.5167032970353,20.097023727685155,566.125
2020-06-20 09:43:00,773.1769090020167,1059.7896956514887,20.530993412412613,671.3
2020-06-20 09:48:00,789.1815438947792,1060.989592905354,20.955981600401174,240.1125
2020-06-20 09:53:00,804.8401438173472,1062.1212217302943,21.37178115172594,307.8375
2020-06-20 09:58:00,820.1450819428431,1063.188961214568,21.77818954309612,294.2725
2020-06-20 10:03:00,835.088923738177,1064.1967928031263,22.17500935740248,307.12
2020-06-20 10:08:00,849.6644123686124,1065.1483415688444,22.56204789615083,543.255
2020-06-20 10:13:00,863.8644848068196,1066.0469142182417,22.939117607222443,484.5575
2020-06-20 10:18:00,877.6822676566491,1066.8955310853803,23.306035973977828,550.21
2020-06-20 10:23:00,891.1110739567919,1067.6969542940462,23.66262543038124,381.71
2020-06-20 10:28:00,904.1444182094442,1068.4537135962871,24.008713760073302,292.6075
2020-06-20 10:33:00,916.7760041916544,1069.1681276157583,24.344133772711643,245.0125
2020-06-20 10:38:00,928.9997411625324,1069.8423242042495,24.668723734339096,309.1575
2020-06-20 10:43:00,940.8097325371148,1070.4782569878914,24.982327066628383,426.375
2020-06-20 10:48:00,952.2002912046216,1071.0777214606203,25.28479275364464,860.8425
2020-06-20 10:53:00,963.1659290394074,1071.64236796726,25.575975063317173,391.14
2020-06-20 10:58:00,973.7013698759188,1072.1737144511897,25.85573389197976,232.4475
2020-06-20 11:03:00,983.801546761749,1072.6731570509232,26.12393469142524,254.5125
2020-06-20 11:08:00,993.4616001960966,1073.1419796171117,26.38044842213173,363.0
2020-06-20 11:13:00,1002.676889447464,1073.5813628426515,26.625151853791863,476.6575
2020-06-20 11:18:00,1011.4429841113744,1073.9923915199176,26.857927341137724,667.8600000000001
2020-06-20 11:23:00,1019.7556758445604,1074.3760619639322,27.0786631355287,1077.14
2020-06-20 11:28:00,1027.610970738774,1074.7332877994652,27.28725318244813,1015.6925
2020-06-20 11:33:00,1035.0050999377063,1075.064905956033,27.483597403423005,757.0875
2020-06-20 11:38:00,1041.9345128317664,1075.371681287554,27.66760151531946,934.1425
2020-06-20 11:43:00,1048.3958856931636,1075.654311374822,27.83917725963886,546.285
2020-06-20 11:48:00,1054.386119873967,1075.9134303900605,27.99824235466804,565.6725
