,ghi_clipped_x
2020-06-21 07:02:00,44.528942703591625
2020-06-21 07:07:00,59.25810708059764
2020-06-21 07:12:00,70.4725
2020-06-21 07:17:00,81.14250000000001
2020-06-21 07:22:00,92.21249999999999
2020-06-21 07:27:00,103.80999999999999
2020-06-21 07:32:00,113.76249999999999
2020-06-21 07:37:00,126.06750000000001
2020-06-21 07:42:00,141.49
2020-06-21 07:47:00,156.60000000000002
2020-06-21 07:52:00,172.4
2020-06-21 07:57:00,186.26999999999998
2020-06-21 08:02:00,202.36
2020-06-21 08:07:00,219.5525
2020-06-21 08:12:00,239.7975
2020-06-21 08:17:00,255.7125
2020-06-21 08:22:00,271.44
2020-06-21 08:27:00,291.62250000000006
2020-06-21 08:32:00,313.1375
2020-06-21 08:37:00,332.46500000000003
2020-06-21 08:42:00,349.7075
2020-06-21 08:47:00,370.7975
2020-06-21 08:52:00,385.7175
2020-06-21 08:57:00,403.8125
2020-06-21 09:02:00,420.78
2020-06-21 09:07:00,439.40500000000003
2020-06-21 09:12:00,456.01000000000005
2020-06-21 09:17:00,475.65
2020-06-21 09:22:00,492.71999999999997
2020-06-21 09:27:00,507.09999999999997
2020-06-21 09:32:00,525.015
2020-06-21 09:37:00,544.745
2020-06-21 09:42:00,561.28
2020-06-21 09:47:00,575.1275
2020-06-21 09:52:00,588.7025
2020-06-21 09:57:00,598.1424999999999
2020-06-21 10:02:00,619.9575
2020-06-21 10:07:00,630.855
2020-06-21 10:12:00,645.9475
2020-06-21 10:17:00,655.6225
2020-06-21 10:22:00,667.2775
2020-06-21 10:27:00,679.6975
2020-06-21 10:32:00,696.1274999999999
2020-06-21 10:37:00,706.035
2020-06-21 10:42:00,717.995
2020-06-21 10:47:00,729.23
2020-06-21 10:52:00,740.3275
2020-06-21 10:57:00,749.265
2020-06-21 11:02:00,767.5475
2020-06-21 11:07:00,766.4975
2020-06-21 11:12:00,783.7625
2020-06-21 11:17:00,791.2249999999999
2020-06-21 11:22:00,802.7099999999999
2020-06-21 11:27:00,809.3975
2020-06-21 11:32:00,816.2149999999999
2020-06-21 11:37:00,821.299600049435
2020-06-21 11:42:00,823.6245655068751
2020-06-21 11:47:00,825.7640752510638
2020-06-21 11:52:00,827.7215642631828
2020-06-21 11:57:00,829.5001550255181
2020-06-21 12:02:00,831.1026668146795
2020-06-21 12:07:00,832.5316278794467
2020-06-21 12:12:00,833.7892828786195
2020-06-21 12:17:00,834.8776024412484
2020-06-21 12:22:00,835.7982886278518
2020-06-21 12:27:00,836.5527814650362
2020-06-21 12:32:00,837.1422623316639
2020-06-21 12:37:00,837.5676560902917
2020-06-21 12:42:00,837.8296322733582
2020-06-21 12:47:00,837.9286041547826
2020-06-21 12:52:00,837.8647281558111
2020-06-21 12:57:00,837.6379032609664
2020-06-21 13:02:00,837.2477712674141
2020-06-21 13:07:00,836.6937178785519
2020-06-21 13:12:00,835.9748730223697
2020-06-21 13:17:00,835.0901105192451
2020-06-21 13:22:00,834.0380466256462
2020-06-21 13:27:00,832.8170355728909
2020-06-21 13:32:00,831.4251655554334
2020-06-21 13:37:00,829.8602508848641
2020-06-21 13:42:00,828.1198257132558
2020-06-21 13:47:00,826.2011334298331
2020-06-21 13:52:00,824.1011185031224
2020-06-21 13:57:00,821.8164135886854
2020-06-21 14:02:00,819.3433278763316
2020-06-21 14:07:00,816.6778346563958
2020-06-21 14:12:00,813.8155540883445
2020-06-21 14:17:00,803.1975
2020-06-21 14:22:00,800.66
2020-06-21 14:27:00,785.7725
2020-06-21 14:32:00,779.595
2020-06-21 14:37:00,768.255
2020-06-21 14:42:00,758.6625
2020-06-21 14:47:00,746.3075
2020-06-21 14:52:00,736.11
2020-06-21 14:57:00,727.7475
2020-06-21 15:02:00,715.9075
2020-06-21 15:07:00,705.3975
2020-06-21 15:12:00,688.9125
2020-06-21 15:17:00,677.62
2020-06-21 15:22:00,662.7375
2020-06-21 15:27:00,647.27
2020-06-21 15:32:00,635.2575
2020-06-21 15:37:00,621.9275
2020-06-21 15:42:00,606.845
2020-06-21 15:47:00,583.7375000000001
2020-06-21 15:52:00,569.085
2020-06-21 15:57:00,553.6575
2020-06-21 16:02:00,539.3575
2020-06-21 16:07:00,525.615
2020-06-21 16:12:00,506.85
2020-06-21 16:17:00,491.6375
2020-06-21 16:22:00,473.905
2020-06-21 16:27:00,454.28749999999997
2020-06-21 16:32:00,436.96500000000003
2020-06-21 16:37:00,418.7375
2020-06-21 16:42:00,398.2425
2020-06-21 16:47:00,380.5075
2020-06-21 16:52:00,363.9025
2020-06-21 16:57:00,345.51
2020-06-21 17:02:00,331.855
2020-06-21 17:07:00,312.09749999999997
2020-06-21 17:12:00,291.71750000000003
2020-06-21 17:17:00,275.5625
2020-06-21 17:22:00,258.82
2020-06-21 17:27:00,240.0575
2020-06-21 17:32:00,223.09499999999997
2020-06-21 17:37:00,207.34499999999997
2020-06-21 17:42:00,191.945
2020-06-21 17:47:00,175.3625
2020-06-21 17:52:00,160.8975
2020-06-21 17:57:00,147.2975
2020-06-21 18:02:00,134.31
2020-06-21 18:07:00,120.1725
2020-06-21 18:12:00,106.9025
2020-06-21 18:17:00,93.825
2020-06-21 18:22:00,79.0975734476464
2020-06-21 18:27:00,62.62382507471783
2020-06-21 18:32:00,47.55783463074635
2020-06-21 18:37:00,34.16807551102931
2020-06-21 18:42:00,22.748151892842017
2020-06-22 06:52:00,20.084541072580098
2020-06-22 06:57:00,30.925058606643017
2020-06-22 07:02:00,43.81291766162415
2020-06-22 07:07:00,58.45212043342345
2020-06-22 07:12:00,68.615
2020-06-22 07:17:00,77.91
2020-06-22 07:22:00,87.76499999999999
2020-06-22 07:27:00,97.385
2020-06-22 07:32:00,108.105
2020-06-22 07:37:00,118.81
2020-06-22 07:42:00,130.185
2020-06-22 07:47:00,140.97
2020-06-22 07:52:00,149.7575
2020-06-22 07:57:00,164.61
2020-06-22 08:02:00,176.33
2020-06-22 08:07:00,188.54000000000002
2020-06-22 08:12:00,202.085
2020-06-22 08:17:00,215.52499999999998
2020-06-22 08:22:00,227.09250000000003
2020-06-22 08:27:00,241.6975
2020-06-22 08:32:00,256.7625
2020-06-22 08:37:00,272.5475
2020-06-22 08:42:00,287.61250000000007
2020-06-22 08:47:00,303.815
2020-06-22 08:52:00,317.81499999999994
2020-06-22 08:57:00,333.9575
2020-06-22 09:02:00,346.92
2020-06-22 09:07:00,363.4
2020-06-22 09:12:00,378.39500000000004
2020-06-22 09:17:00,392.88750000000005
2020-06-22 09:22:00,403.72
2020-06-22 09:27:00,417.73249999999996
2020-06-22 09:32:00,433.6775
2020-06-22 09:37:00,444.96
2020-06-22 09:57:00,503.5625
2020-06-22 10:02:00,514.9449999999999
2020-06-22 10:07:00,529.52
2020-06-22 10:12:00,540.4625
2020-06-22 10:17:00,554.0275
2020-06-22 10:22:00,565.1800000000001
2020-06-22 10:27:00,583.905
2020-06-22 10:32:00,595.4525
2020-06-22 10:37:00,607.0699999999999
2020-06-22 10:42:00,616.1275
2020-06-22 10:47:00,632.435
2020-06-22 10:52:00,640.6575
2020-06-22 10:57:00,646.905
2020-06-22 11:02:00,656.0175
2020-06-22 11:07:00,665.5649999999999
2020-06-22 11:12:00,673.77
2020-06-22 11:17:00,685.0625
2020-06-22 11:22:00,692.5174999999999
2020-06-22 11:27:00,700.3825
2020-06-22 11:32:00,714.045
2020-06-22 11:37:00,718.2775
